post_id,subgroddit_id,author_id,title,content,created_at,upvotes,downvotes
P001,S001,USER001,"Perbedaan BFS dan DFS","Ada yang bisa jelaskan perbedaan dan kasus penggunaan BFS serta DFS?",2025-11-02 21:10:10,45,3
P002,S001,USER007,"Cara kerja Topological Sort","Konten untuk post P002...",2025-11-02 21:10:10,28,1
P003,S001,USER003,"Optimasi Dijkstra vs A*","Konten untuk post P003...",2025-11-03 21:10:10,87,2
P004,S003,USER007,"Best C textbooks?","Konten untuk post P004...",2025-10-31 21:10:10,18,0
P005,S001,USER004,"Implementasi Union-Find","Ada yang punya contoh implementasi Union-Find yang efisien?",2025-12-03 10:12:45,12,0
P006,S001,USER007,"Perbedaan Heaps vs Priority Queue","Apa kelebihan pakai binary heap dibanding priority queue built-in?",2025-12-03 07:55:12,9,1
P007,S001,USER002,"Kenapa Merge Sort stabil?","Apakah ada penjelasan intuitif mengenai kenapa Merge Sort stabil?",2025-12-02 23:41:03,21,0
P008,S001,USER006,"Cara optimize recursion di C","Ada tips supaya recursive function lebih efisien di C?",2025-12-03 14:29:55,4,0
P009,S001,USER007,"Apa itu memoization?","Bisa beri contoh kasus sederhana penggunaan memoization?",2025-12-02 20:18:44,17,2
P010,S001,USER007,"Struktur data buat frequency counting?","Untuk dataset besar, struktur data apa yg ideal buat nge-track frequency?",2025-12-03 16:02:11,6,0
